epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1479,1.17603,1.55736,1.23534,0.6532,0.53117,0.61275,0.45316,1.07334,1.10714,1.11816,0.0937,0.0007,0.0007
2,83.3564,1.18384,1.33844,1.25571,0.68807,0.39007,0.44295,0.33135,1.05016,1.0533,1.10282,0.0864994,0.00149943,0.00149943
3,129.621,1.21471,1.3569,1.24266,0.65412,0.36302,0.40044,0.30106,1.04598,1.03354,1.09443,0.0792965,0.00229649,0.00229649
4,175.643,1.07081,1.26037,1.19629,0.74897,0.36325,0.41538,0.31425,1.04099,0.9963,1.08734,0.0720894,0.00308936,0.00308936
5,223.67,1.07705,1.12045,1.16318,0.64466,0.39925,0.41968,0.32387,1.06582,0.99892,1.09508,0.0648762,0.00387623,0.00387623
6,280.203,1.03374,1.12288,1.17648,0.63769,0.28411,0.29813,0.22823,1.05291,0.97634,1.10283,0.0576553,0.0046553,0.0046553
7,342.333,1.10164,1.14133,1.16364,0.61867,0.30274,0.32233,0.23771,1.14907,1.14453,1.16516,0.0504248,0.00542478,0.00542478
8,397.39,1.12361,1.15888,1.19656,0.5915,0.2326,0.2496,0.18589,1.04624,0.94832,1.10264,0.0431829,0.00618292,0.00618292
9,475.241,1.03888,1.03475,1.12224,0.67919,0.21154,0.24562,0.17638,1.01819,0.93274,1.09197,0.035928,0.00692799,0.00692799
10,551.018,1.11035,1.11747,1.17456,0.73046,0.20824,0.253,0.1887,1.08988,1.18652,1.14095,0.0286583,0.0076583,0.0076583
11,615.203,1.11565,1.11186,1.16622,0.66369,0.22496,0.26057,0.19159,1.09384,1.09354,1.13583,0.0213722,0.00837219,0.00837219
12,730.494,1.11048,1.12245,1.16086,0.63438,0.23095,0.26233,0.18956,1.09653,1.16412,1.12816,0.014068,0.00906804,0.00906804
13,824.763,1.09215,1.06579,1.16709,0.60167,0.30344,0.35666,0.26146,1.12354,1.30767,1.14276,0.00946048,0.00946048,0.00946048
14,899.403,1.099,1.09876,1.17062,0.71924,0.2136,0.23792,0.17602,1.08491,1.0317,1.12486,0.00936886,0.00936886,0.00936886
15,977.274,1.14989,1.1713,1.21295,0.6002,0.19149,0.20779,0.13944,1.13735,1.07947,1.14672,0.00927057,0.00927057,0.00927057
16,1067.68,1.09921,1.08202,1.17604,0.65559,0.27717,0.29766,0.20418,1.17396,1.07188,1.16325,0.00916577,0.00916577,0.00916577
17,1142.69,1.04742,1.02987,1.15093,0.64232,0.28683,0.34338,0.24244,1.13968,1.09895,1.15408,0.00905463,0.00905463,0.00905463
18,1223.88,1.10325,1.06838,1.16122,0.55273,0.26807,0.27823,0.20022,1.12307,1.07647,1.14212,0.00893732,0.00893732,0.00893732
19,1314.39,1.07861,1.05236,1.15091,0.72173,0.19698,0.23634,0.1695,1.05286,1.00204,1.11555,0.00881401,0.00881401,0.00881401
20,1427.26,1.02703,1.01254,1.12704,0.73864,0.22504,0.28677,0.203,1.07625,1.072,1.11978,0.0086849,0.0086849,0.0086849
21,1537.6,1.07005,1.00658,1.14916,0.59761,0.2154,0.22765,0.16926,1.08059,1.05464,1.12989,0.00855018,0.00855018,0.00855018
