epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8309,1.19439,1.47103,1.24,0.46681,0.40674,0.41604,0.29941,1.21388,1.55343,1.22485,0.0701571,0.00331588,0.00331588
2,182.859,1.26828,1.70628,1.29304,0.36809,0.32169,0.34194,0.23454,1.33942,1.87007,1.30587,0.0401506,0.00664272,0.00664272
3,284.673,1.41315,2.01437,1.38192,0.3551,0.21632,0.21881,0.13986,1.54081,2.43906,1.44929,0.0101181,0.00994358,0.00994358
4,389.441,1.58012,2.40993,1.5158,0.30502,0.16418,0.15217,0.09265,1.73208,2.72546,1.61558,0.00991232,0.00991232,0.00991232
5,500.316,1.65052,2.58558,1.5762,0.36056,0.17207,0.1246,0.07862,1.66075,2.8449,1.5557,0.00984449,0.00984449,0.00984449
6,626.889,1.65707,2.58781,1.59662,0.3277,0.14066,0.1318,0.07466,1.76596,2.92023,1.62435,0.00975773,0.00975773,0.00975773
7,746.881,1.65997,2.55022,1.58665,0.2994,0.16353,0.12186,0.07228,1.70335,2.85242,1.60993,0.00965239,0.00965239,0.00965239
8,947.642,1.63504,2.48007,1.56779,0.22115,0.16967,0.13522,0.08128,1.69527,2.69891,1.59234,0.00952889,0.00952889,0.00952889
9,1076.22,1.6084,2.43902,1.55771,0.33565,0.18057,0.15146,0.08845,1.69196,2.73553,1.59114,0.00938772,0.00938772,0.00938772
10,1236.07,1.59516,2.38162,1.5482,0.32687,0.17392,0.15634,0.09806,1.68007,2.58697,1.58905,0.00922942,0.00922942,0.00922942
11,1437.34,1.57913,2.31722,1.54593,0.36968,0.15749,0.16453,0.10265,1.62807,2.67489,1.56088,0.00905463,0.00905463,0.00905463
12,1574.09,1.55721,2.25383,1.52565,0.22513,0.17799,0.14598,0.08958,1.64107,2.60277,1.56176,0.00886404,0.00886404,0.00886404
13,1713.18,1.53333,2.19371,1.50303,0.26794,0.2052,0.18347,0.11172,1.61165,2.47415,1.53642,0.00865839,0.00865839,0.00865839
14,1880.36,1.52655,2.16887,1.48982,0.34007,0.19242,0.1691,0.10713,1.60609,2.50003,1.54192,0.00843851,0.00843851,0.00843851
15,2049.48,1.49531,2.07751,1.47095,0.41324,0.18299,0.17544,0.11077,1.58742,2.36715,1.52352,0.00820525,0.00820525,0.00820525
16,2309.27,1.49578,2.06534,1.47417,0.32446,0.21376,0.18348,0.11051,1.5736,2.37052,1.49573,0.00795954,0.00795954,0.00795954
